English,Russian
a,а
able,способный
about,о
above,выше
accept,принимать
across,через
act,действовать
actually,фактически
add,добавлять
admit,признавать
afraid,боюсь
after,после
afternoon,после полудня
again,опять таки
against,против
age,возраст
ago,назад
agree,соглашаться
ah,ах
ahead,предстоящий
air,воздуха
all,все
allow,разрешать
almost,почти
alone,один
along,вместе
already,уже
alright,хорошо
also,также
although,несмотря на то что
always,всегда
am,являюсь
amaze,удивлять
an,атмосфера
and,а также
anger,злость
angry,злой
animal,животное
annoy,раздражать
another,еще один
answer,отвечать
any,Любые
anymore,больше
anyone,кто угодно
anything,что-либо
anyway,тем не мение
apartment,квартира
apparently,по всей видимости
appear,появляться
approach,подход
are,находятся
area,область
aren't,не
arm,рука
around,около
arrive,прибыть
as,в качестве
ask,спросить
asleep,спящий
ass,жопа
at,в
attack,атака
attempt,пытаться
attention,внимание
aunt,тетя
avoid,избегать
away,прочь
baby,малыш
back,назад
bad,Плохо
bag,сумка
ball,мяч
band,группа
bar,бар
barely,едва
bathroom,ванная комната
be,быть
beat,бить
beautiful,красивая
became,стал
because,потому что
become,стали
bed,кровать
bedroom,Спальня
been,был
before,до
began,началось
begin,начинать
behind,позади
believe,полагать
bell,колокол
beside,рядом
besides,Помимо
best,Лучший
better,лучше
between,между
big,большой
bit,кусочек
bite,кусать
black,черный
blink,мигание
block,блокировать
blonde,блондинка
blood,кровь
blue,синий
blush,краснеть
body,тело
book,книга
bore,заседание
both,оба
bother,беспокоить
bottle,бутылка
bottom,нижний
box,коробка
boy,мальчик
boyfriend,парень
brain,мозг
break,ломать
breakfast,завтрак
breath,дыхание
breathe,дышать
bright,яркий
bring,приносить
broke,сломанный
broken,сломанный
brother,брат
brought,привел
brown,коричневый
brush,щетка
build,строить
burn,гореть
burst,лопаться
bus,автобус
business,бизнес
busy,занятый
but,но
buy,купить
by,по
call,вызов
calm,спокойствие
came,пришел
can,Можно
can't,не мочь
car,автомобиль
card,открытка
care,забота
carefully,осторожно
carry,нести
case,кейс
cat,кошка
catch,ловить
caught,пойманный
cause,причина
cell,клетка
chair,стул
chance,шанс
change,сдача
chase,гнаться
check,Проверьте
cheek,щека
chest,грудь
child,ребенок
children,дети
chuckle,смехотворное
city,город
class,учебный класс
clean,чистый
clear,Чисто
climb,взбираться
close,Закрыть
clothes,одежда
coffee,кофе
cold,холодно
college,колледж
color,цвет
come,прийти
comment,комментарий
complete,полный
completely,полностью
computer,компьютерный
concern,беспокойство
confuse,запутать
consider,рассмотреть возможность
continue,Продолжать
control,контроль
conversation,беседа
cool,Круто
corner,угол
couch,диван
could,мог
couldn't,не мог
counter,прилавок
couple,пара
course,курс
cover,покрытие
crack,трескаться
